SoundName_(.wav)	Fricative_(SAMPA)	MiddleTime_(s)	Duration_(ms)	MeanIntensity_(dB)	CentreOfGravity_(Hz)	PhonemesToNextFricative	DurationToNextFricative_(s)	InWord	WordLength	FricativePositionInWord
LYSL042_dossier1	v	0.05071400000000004	30.00000000000003	45.47769480477726	823.1420113558505	1	0.05999999999999994	Vous	3	1
LYSL042_dossier1	z	0.15071400000000001	50.00000000000004	74.38061965260486	753.5613250694205	16	1.4300000000000002	Vous	3	3
LYSL042_dossier1	S	1.6707140000000003	129.9999999999999	70.85704554109411	3170.3085232180683	6	0.31999999999999984	Marche	4	4
LYSL042_dossier1	s	2.130714	149.99999999999991	67.60857504981473	5125.778098036512	6	0.6499999999999999	l'élection	8	6
LYSL042_dossier1	z	2.890714	70.00000000000028	69.21343711495885	588.6393732679479	3	0.19999999999999973	présidentielle	11	4
LYSL042_dossier1	s	3.1957139999999997	140.0000000000001	66.41521884357039	5831.367537278231	4	0.3299999999999996	présidentielle	11	8
LYSL042_dossier1	v	3.6357139999999997	80.00000000000007	68.07629389108034	209.83808755184873	1	0.03000000000000025	vous	3	1
LYSL042_dossier1	z	3.755714	100.00000000000054	73.16350104716057	349.4376288176777	1	0.03999999999999915	vous	3	3
LYSL042_dossier1	v	3.870714	50.00000000000071	69.12152879907707	312.0124304410695	3	0.13000000000000034	avez	3	2
LYSL042_dossier1	s	4.060714	69.99999999999851	64.50803237130636	6440.404443229794	13	0.9600000000000009	accepté	7	3
LYSL042_dossier1	z	5.095714	80.00000000000007	69.19701562520959	426.63122087186576	1	0.07000000000000028	proposition	10	6
LYSL042_dossier1	s	5.2407140000000005	70.00000000000028	65.04224844286205	3691.6283214395376	2	0.09999999999999964	proposition	10	8
LYSL042_dossier1	v	5.395714	39.99999999999915	74.36140004870462	223.1858911978367	1	0.030000000000001137	Vous	3	1
LYSL042_dossier1	z	5.465714	39.99999999999915	70.05537531676937	379.21447978953637	31	1.7300000000000004	Vous	3	3
LYSL042_dossier1	v	7.235714	39.99999999999915	67.28488654444469	394.80131596275567	4	0.34999999999999964	avoir	4	2
LYSL042_dossier1	v	7.625713999999999	40.000000000000924	71.39537138159638	335.83227840883745	4	0.22000000000000064	l'avoir	5	3
LYSL042_dossier1	s	7.900714000000001	70.00000000000028	59.064433946803675	3396.8891266647133	14	1.9360999999999997	acceptée	7	3
LYSL042_dossier1	Z	9.936814	129.999999999999	71.17061173006923	1025.7898869258156	5	0.22000000000000064	l'imaginaire	9	5
LYSL042_dossier1	s	10.261814000000001	80.00000000000007	64.41943380317372	3689.3359201423195	7	0.40000000000000036	historique	7	2
LYSL042_dossier1	s	10.751814	99.99999999999964	63.76615456527468	3881.4984431864386	7	0.3100000000000005	série	4	1
LYSL042_dossier1	s	11.136814000000001	49.999999999998934	66.17305432573096	2974.3314963541807	5	0.26000000000000156	d'émissions	7	5
LYSL042_dossier1	f	11.466814000000001	89.99999999999986	57.1150267525016	1418.0879620952041	1	0.049999999999998934	faisons	4	1
LYSL042_dossier1	z	11.586814	50.00000000000071	63.79434259612282	619.7827541539006	11	0.9700000000000006	faisons	4	3
LYSL042_dossier1	s	12.641814	119.99999999999922	62.25958563678305	4879.0261954591515	3	0.35999999999999943	deux-milles-sept	8	6
LYSL042_dossier1	v	13.086814	50.00000000000071	65.138198522046	240.7195749185184	23	1.5299999999999994	avec	4	2
LYSL042_dossier1	s	14.706814	129.999999999999	66.24942532804857	3948.3475478041723	6	0.9162590000000002	aussi	3	2
LYSL042_dossier1	z	15.728073	80.00000000000185	69.34498188944353	618.3553082009433	4	0.18999999999999773	les	3	3
LYSL042_dossier1	s	16.018073	120.000000000001	68.49840683917404	4289.316392743	10	1.120000000000001	élections	8	5
LYSL042_dossier1	s	17.278073	160.00000000000014	68.86279419616251	2139.3779655117114	15	1.0300000000000011	personnels	8	4
LYSL042_dossier1	s	18.433073	89.9999999999963	63.69706727184962	5853.243156325115	14	1.110000000000003	personnes	6	4
LYSL042_dossier1	s	19.643073	109.99999999999943	70.68381316521494	1038.1679765357019	5	0.1999999999999993	certaine	6	1
LYSL042_dossier1	f	19.938073	79.9999999999983	62.35154037700462	682.3192002235717	1	0.0400000000000027	façon	4	1
LYSL042_dossier1	s	20.088073	140.00000000000057	66.95146478073627	3460.706338680477	8	0.9800000000000004	façon	4	3
LYSL042_dossier1	S	21.193073000000002	109.99999999999943	64.08369888118185	1932.345405339096	1	0.03999999999999915	chose	3	1
LYSL042_dossier1	z	21.318073	59.99999999999872	69.27154985112202	312.4305729482485	1	0.05000000000000071	chose	3	3
LYSL042_dossier1	v	21.418073	39.99999999999915	66.96029821380547	252.52814702303777	4	0.45000000000000284	voir	4	1
LYSL042_dossier1	v	21.913073	49.99999999999716	69.83387348635213	303.63506765483896	4	0.23000000000000043	avec	4	2
LYSL042_dossier1	s	22.223073	109.99999999999943	60.06341008348495	4342.109610386159	5	0.9418590000000009	l'histoire	7	3
LYSL042_dossier1	v	23.234932	30.000000000001137	71.96258218351974	333.6729783233979	10	1.1499999999999986	vient	3	1
LYSL042_dossier1	s	24.464931999999997	129.999999999999	72.68127686049026	2055.5833548827413	7	0.4299999999999997	ce	1	1
LYSL042_dossier1	Z	25.004932	90.00000000000341	68.8125264379523	1064.669786862877	2	0.259999999999998	reportage	8	8
LYSL042_dossier1	s	25.334932000000002	50.00000000000071	67.74206982904764	3469.091755631764	1	0.030000000000001137	Séverine	7	1
LYSL042_dossier1	v	25.404932000000002	29.999999999997584	67.61403576976515	1854.3070265074361	12	0.7300000000000004	Séverine	7	3
LYSL042_dossier1	z	26.199932	100.00000000000142	63.2037584647897	497.1867083378581	6	0.7199999999999989	dans	3	3
LYSL042_dossier1	s	27.029932000000002	120.000000000001	63.177509287853866	4350.785455608737	2	0.14000000000000057	classe	4	4
LYSL042_dossier1	s	27.269932	79.9999999999983	61.66884819671199	4167.036274320473	6	0.35999999999999943	se	2	1
LYSL042_dossier1	s	27.749932	160.00000000000014	62.34530304860351	4702.358277643408	2	0.11000000000000298	déplaçait	7	6
LYSL042_dossier1	z	27.969932	59.99999999999872	68.90081637248194	361.84354222245554	2	0.08999999999999986	aux	2	2
LYSL042_dossier1	S	28.144932	109.99999999999943	66.56274197692173	3677.9385519488546	1	0.03999999999999915	Archives	5	3
LYSL042_dossier1	v	28.254932	30.000000000001137	67.20873151848677	221.76563622408398	2	0.10000000000000142	Archives	5	5
LYSL042_dossier1	s	28.424932000000002	109.99999999999943	64.859488614099	3151.1624918408315	12	1.0935370000000013	nationales	8	3
LYSL042_dossier1	s	29.668469	190.00000000000128	67.85743673994511	3536.814182928904	4	0.875986000000001	CM1	4	1
LYSL042_dossier1	v	30.659455000000005	39.99999999999915	71.34279837075307	201.56313521379488	1	0.05000000000000071	vous	3	1
LYSL042_dossier1	z	30.764455000000005	70.00000000000028	76.9630563351219	334.2359330639881	1	0.04999999999999716	vous	3	3
LYSL042_dossier1	v	30.874455000000005	50.00000000000071	76.16863208646693	286.57084331621365	5	0.3500000000000014	évoquez	5	2
LYSL042_dossier1	v	31.264455000000005	30.000000000001137	75.97250635149992	386.02779410005843	6	0.4499999999999993	votre	5	1
LYSL042_dossier1	v	31.754455000000004	49.99999999999716	70.71453150669322	259.1563420169275	4	0.5300000000000047	livre	4	3
LYSL042_dossier1	v	32.334455000000005	50.00000000000426	70.9698454207414	263.2569135738641	3	0.17999999999999972	Révolution	9	3
LYSL042_dossier1	s	32.60945500000001	140.00000000000057	65.74192233508141	3527.0052875193096	9	0.779999999999994	Révolution	9	7
LYSL042_dossier1	s	33.524455	130.00000000000256	67.32727959679563	2511.5036800229955	1	0.10999999999999943	l'apprentissage	10	8
LYSL042_dossier1	Z	33.74945500000001	100.00000000000142	72.66033790957495	445.3232612810858	4	0.1700000000000017	l'apprentissage	10	10
LYSL042_dossier1	s	34.00445500000001	70.00000000000028	61.4064922075709	4446.517360268014	5	0.25	l'histoire	7	3
LYSL042_dossier1	v	34.304455000000004	29.99999999999403	70.58694767768182	314.91630636727655	2	0.11000000000000654	vous	2	1
LYSL042_dossier1	v	34.45445500000001	49.99999999999716	71.57255917065089	307.2396137876386	1	0.14000000000000057	avez	3	2
LYSL042_dossier1	f	34.69945500000001	159.9999999999966	58.31369178117701	2334.3256534005354	0	--undefined--	fait	2	1
LYSL042_dossier2	s	0.1637890000000084	99.99999999999432	68.0910419845643	6357.766189646978	8	0.47000000000000597	Cet	3	1
LYSL042_dossier2	s	0.7287890000000097	89.9999999999963	72.08468558033938	946.6528288860546	1	0.05000000000000426	apprentissage	9	7
LYSL042_dossier2	Z	0.8837890000000108	119.99999999999744	70.28440461515915	468.3917549813762	3	0.14000000000000057	apprentissage	9	9
LYSL042_dossier2	s	1.1137890000000112	60.000000000002274	60.98362771313495	6128.938417077255	8	1.0799999999999983	l'histoire	7	3
LYSL042_dossier2	s	2.2787890000000104	109.99999999999943	66.40034126664233	4935.395994390326	1	0.0899999999999963	souvent	4	1
LYSL042_dossier2	v	2.4487890000000085	50.00000000000426	72.16875780242495	280.313505827158	8	0.7199999999999989	souvent	4	3
LYSL042_dossier2	f	3.303789000000009	219.99999999999886	60.31009606441913	2114.952438039611	4	0.5799999999999983	fait	2	1
LYSL042_dossier2	s	4.043789000000007	100.00000000000142	63.159064515365074	4056.190421370554	1	0.0799999999999983	souvent	5	1
LYSL042_dossier2	v	4.213789000000009	80.0000000000054	64.50131267468018	297.18808130536087	5	0.8399999999999963	souvent	5	3
LYSL042_dossier2	s	5.158789000000009	130.00000000000256	64.28850912076246	2690.2500338495183	1	0.03999999999999915	ces	3	1
LYSL042_dossier2	z	5.288789000000008	49.99999999999716	67.85254108640578	708.9485879502304	1	0.0799999999999983	ces	3	3
LYSL042_dossier2	f	5.4487890000000085	110.00000000000654	59.966771820553966	2333.861447998868	25	2.6000000000000014	enfants	3	2
LYSL042_dossier2	s	8.158789000000013	109.99999999999943	64.86847876229201	4008.3246303383735	7	0.5799999999999983	histoire	6	2
LYSL042_dossier2	s	8.828789000000011	70.00000000000028	58.5981333761236	3638.0729680958884	10	0.8399999999999963	surtout	5	1
LYSL042_dossier2	f	9.74878900000001	90.00000000000341	58.48754765284174	2077.0433670837683	13	0.769999999999996	fait	2	1
LYSL042_dossier2	s	10.628789000000008	130.00000000000256	65.53602255450716	3383.124004844783	3	0.10000000000000142	récit	4	3
LYSL042_dossier2	s	10.838789000000009	89.9999999999963	64.79460326153375	1971.1269849637733	17	1.3949890000000025	national	8	3
LYSL042_dossier2	s	12.31377800000001	70.00000000000028	62.63800709498866	2782.524996226927	10	1.0399999999999991	spontanément	9	1
LYSL042_dossier2	s	13.428778000000008	79.9999999999983	66.32906368674433	3333.754023488132	10	0.5300000000000011	cet	3	1
LYSL042_dossier2	z	14.02877800000001	60.000000000002274	70.49366660250313	402.45908382291367	2	0.05999999999999517	des	3	3
LYSL042_dossier2	S	14.168778000000007	100.00000000000142	65.91950934202436	3558.7712910935697	1	0.05000000000000426	Archives	5	3
LYSL042_dossier2	v	14.283778000000009	29.99999999999403	71.16264443578311	206.8106189363962	2	0.060000000000002274	Archives	5	5
LYSL042_dossier2	s	14.413778000000008	109.99999999999943	67.52177251166724	1778.5603108966768	10	0.6000000000000014	nationales	8	3
LYSL042_dossier2	s	15.13877800000001	140.00000000000057	60.21304101297294	4208.092941787856	7	1.0799999999999983	citaient	4	1
LYSL042_dossier2	v	16.323778000000008	70.00000000000028	65.06639036839329	253.09370955719191	11	0.9399999999999977	Clovis	5	4
LYSL042_dossier2	f	17.343778000000007	90.00000000000341	59.281070033127506	1355.607524680374	10	0.6799999999999997	Bref	4	4
LYSL042_dossier2	s	18.13877800000001	140.00000000000057	58.778461344878025	3368.9200787132468	2	0.1699999999999946	apparaissaient	7	6
LYSL042_dossier2	s	18.443778000000005	130.00000000000256	59.291666958864695	4997.581569909951	12	0.8500000000000014	CM1	5	1
LYSL042_dossier2	s	19.398778000000007	79.9999999999983	62.32309304466993	1940.538765056426	3	0.21999999999999886	personnages	8	4
LYSL042_dossier2	Z	19.728778000000005	140.00000000000057	67.18877119159811	713.8734913815362	10	1.4540140000000008	personnages	8	8
LYSL042_dossier2	Z	21.307792000000006	109.99999999999943	73.01032930208498	1444.6080791170214	8	0.5	déjà	4	3
LYSL042_dossier2	s	21.91279200000001	100.00000000000853	64.10181312402281	1614.2892089783072	5	0.18999999999999773	certaine	6	1
LYSL042_dossier2	f	22.18779200000001	69.99999999999318	66.18036661502933	469.9166502882891	1	0.030000000000001137	façon	4	1
LYSL042_dossier2	s	22.282792000000008	60.000000000002274	66.26467554706502	872.229587665436	3	0.14000000000000057	façon	4	3
LYSL042_dossier2	s	22.487792000000006	69.99999999999318	66.63562710304656	1554.0114669101802	1	0.04000000000000625	Qu'est-ce	3	3
LYSL042_dossier2	v	22.57779200000001	30.000000000001137	72.2851220279796	288.83690528653176	3	0.25	vous	2	1
LYSL042_dossier2	s	22.89779200000001	109.99999999999943	69.00090250135237	1039.7625651299993	1	0.060000000000002274	pensez	4	3
LYSL042_dossier2	Z	23.04779200000001	69.99999999999318	66.81931397451822	997.3701079639134	1	0.030000000000001137	justement	7	1
LYSL042_dossier2	s	23.142792000000007	60.000000000002274	60.066015939443886	5157.250849435739	8	0.7600000000000051	justement	7	3
LYSL042_dossier2	s	23.96779200000001	69.99999999999318	67.73803819507825	2577.2035574759548	4	0.269999999999996	cette	3	1
LYSL042_dossier2	s	24.322792000000007	100.00000000000853	67.0575970553909	3753.9079589688486	6	0.29999999999999716	question	6	3
LYSL042_dossier2	s	24.71779200000001	90.00000000000341	68.94638814631138	1665.5978459907878	8	0.3499999999999943	enseignement	7	2
LYSL042_dossier2	s	25.157792000000008	90.00000000000341	63.545889294049175	4753.908381755448	40	3.6489800000000088	histoire	6	2
LYSL042_dossier2	v	28.86677200000002	30.000000000001137	64.8999370749401	264.05962851038345	6	0.3100000000000023	avec	4	2
LYSL042_dossier2	f	29.27177200000002	159.9999999999966	61.581227766218454	950.4436293698482	0	--undefined--	réformes	7	3
